Code	Localite
1000	Bruxelles
1050	Ixelles
1070	Anderlecht
1170	Watermael-Boitsfort
1180	Uccle
1200	Woluwe-Saint-Lambert
1301	Bierges
1310	La Hulpe
1320	L'ecluse
1320	Tourinnes-La-Grosse
1348	Louvain-La-Neuve
1350	Jandrain-Jandrenouille
1360	Orbais
1367	Bomal
1367	Gérompont
1367	Mont-Saint-André
1370	Lathuy
1370	Zétrud-Lumay
1380	Lasne
1390	Archennes
1400	Monstreux
1428	Lillois-Witterzée
1430	Quenast
1435	Corbais
1435	Hévillers
1435	Mont-Saint-Guibert
1457	Walhain-Saint-Paul
1460	Ittre
1460	Virginal-Samme
1470	Bousval
1476	Houtain-Le-Val
1480	Clabecq
1490	Court-Saint-Etienne
1495	Mellery
1495	Tilly
1500	Halle
1540	Herfelingen
1570	Vollezele
1600	Sint-Laureins-Berchem
1600	Sint-Pieters-Leeuw
1602	Vlezenbeek
1650	Beersel
1651	Lot
1670	Heikruis
1674	Bellingen
1730	Asse
1742	Sint-Katherina-Lombeek
1745	Mazenzele
1750	Sint-Kwintens-Lennik
1755	Kester
1760	Roosdaal
1760	Strijtem
1785	Brussegem
1790	Hekelgem
1800	Vilvoorde
1853	Strombeek-Bever
1930	Nossegem
2040	Berendrecht
2150	Borsbeek
2170	Merksem
2180	Ekeren
2200	Herentals
2223	Schriek
2235	Westmeerbeek
2240	Massenhoven
2240	Viersel
2260	Oevel
2275	Wechelderzande
2310	Rijkevorsel
2340	Vlimmeren
2430	Laakdal
2430	Vorst
2431	Varendonk
2460	Tielen
2500	Koningshooikt
2520	Oelegem
2590	Berlaar
2620	Hemiksem
2800	Mechelen
2801	Heffen
2840	Reet
2845	Niel
2870	Breendonk
2920	Kalmthout
2930	Brasschaat
2960	Sint-Lenaarts
2990	Loenhout
3000	Leuven
3010	Kessel Lo
3040	Loonbeek
3050	Oud-Heverlee
3061	Leefdaal
3071	Erps-Kwerps
3078	Meerbeek
3118	Werchter
3200	Aarschot
3202	Rillaar
3210	Linden
3271	Averbode
3300	Bost
3300	Goetsenhoven
3320	Meldert
3321	Outgaarden
3360	Bierbeek
3380	Bunsbeek
3381	Kapellen
3390	Sint-Joris-Winge
3390	Tielt-Winge
3400	Eliksem
3400	Rumsdorp
3400	Wange
3401	Waasmont
3404	Neerlanden
3440	Halle-Booienhoven
3440	Helen-Bos
3460	Assent
3460	Bekkevoort
3472	Kersbeek-Miskom
3501	Wimmertingen
3520	Zonhoven
3530	Houthalen
3540	Schulen
3545	Loksbergen
3545	Zelem
3560	Meldert
3580	Beringen
3620	Neerharen
3630	Eisden
3630	Leut
3630	Maasmechelen
3630	Meeswijk
3640	Molenbeersel
3665	As
3700	Berg
3700	Widooie
3724	Vliermaal
3740	Eigenbilzen
3740	Rijkhoven
3770	Kanne
3770	Membruggen
3793	Teuven
3800	Halmaal
3830	Berlingen
3840	Haren
3850	Kozen
3850	Wijer
3870	Rukkelingen-Loon
3870	Vechmaal
3910	Neerpelt
3910	Sint-Huibrechts-Lille
4000	Liège
4030	Grivegnee
4050	Chaudfontaine
4102	Ougrée
4121	Neuville-En-Condroz
4130	Tilff
4140	Rouvreux
4170	Comblain-Au-Pont
4190	Vieuxville
4219	Meeffe
4219	Wasseiges
4253	Darion
4254	Ligney
4280	Blehen
4280	Cras-Avernas
4280	Wansin
4317	Viemme
4347	Fexhe-Le-Haut-Clocher
4351	Hodeige
4360	Oreye
4400	Mons-Lez-Liège
4430	Ans
4431	Loncin
4450	Juprelle
4460	Grâce-Berleur
4480	Ehein
4520	Moha
4520	Wanze
4530	Villers-Le-Bouillet
4537	Bodegnée
4537	Chapon-Seraing
4537	Seraing-Le-Château
4540	Jehay
4557	Abée
4557	Ramelot
4560	Bois-Et-Borsu
4560	Pailhe
4590	Ouffet
4607	Bombaye
4608	Warsage
4632	Cérexhe-Heuseux
4650	Grand-Rechain
4670	Blégny
4671	Saive
4682	Heure-Le-Romain
4690	Eben-Emael
4750	Elsenborn
4761	Rocherath
4790	Burg-Reuland
4800	Petit-Rechain
4840	Welkenraedt
4841	Henri-Chapelle
4845	Jalhay
4850	Montzen
4850	Moresnet
4880	Aubel
4890	Thimister-Clermont
4910	Theux
4970	Stavelot
4987	Stoumont
4990	Arbrefontaine
4990	Lierneux
5003	Saint-Marc
5020	Flawinne
5020	Malonne
5024	Gelbressée
5032	Mazy
5060	Arsimont
5060	Sambreville
5070	Sart-Saint-Laurent
5100	Dave
5140	Sombreffe
5140	Tongrinne
5150	Floriffoux
5150	Soye
5170	Rivière
5190	Jemeppe-Sur-Sambre
5190	Onoz
5300	Andenne
5300	Bonneville
5300	Coutisse
5310	Bolinne
5310	Upigny
5336	Courrière
5340	Sorée
5354	Jallet
5370	Barvaux-Condroz
5370	Porcheresse
5372	Méan
5377	Sinsin
5380	Tillier
5500	Anseremme
5500	Falmagne
5501	Lisogne
5524	Gerin
5530	Durnal
5530	Godinne
5530	Houx
5530	Purnode
5537	Denée
5537	Haut-Le-Wastia
5537	Warnant
5541	Hastière-Par-Delà
5550	Chairière
5550	Pussemange
5550	Vresse-Sur-Semois
5555	Oizy
5571	Wiesme
5572	Focant
5575	Bourseigne-Vieille
5575	Gedinne
5580	Mont-Gauthier
5590	Chevetogne
5590	Pessoux
5600	Vodecée
5620	Rosée
5630	Senzeille
5640	Mettet
5640	Saint-Gérard
5646	Stave
5650	Fontenelle
5650	Vogenée
5650	Yves-Gomezée
5651	Tarcienne
5660	Boussu-En-Fagne
5660	Dailly
5660	Mariembourg
5660	Presgaux
5670	Treignes
5680	Soulme
6001	Marcinelle
6010	Couillet
6030	Goutroux
6061	Montignies-Sur-Sambre
6110	Montigny-Le-Tilleul
6141	Forchies-La-Marche
6200	Châtelet
6210	Frasnes-Lez-Gosselies
6220	Lambusart
6440	Vergnies
6460	Saint-Remy
6463	Lompret
6464	Bourlers
6464	Rièzes
6470	Rance
6500	Leval-Chaudeville
6500	Renlies
6511	Strée
6536	Donstiennes
6540	Mont-Sainte-Geneviève
6592	Monceau-Imbrechies
6600	Noville
6640	Vaux-Lez-Rosières
6640	Vaux-Sur-Sûre
6661	Tailles
6670	Gouvy
6680	Amberloup
6680	Tillet
6686	Flamierge
6690	Bihain
6704	Guirsch
6717	Nobressart
6720	Hachy
6723	Habay-La-Vieille
6730	Bellefontaine
6740	Villers-Sur-Semois
6747	Meix-Le-Tige
6761	Latour
6762	Saint-Mard
6767	Dampicourt
6767	Rouvroy
6767	Torgny
6769	Meix-Devant-Virton
6800	Freux
6800	Libramont-Chevigny
6810	Jamoigne
6813	Termes
6821	Lacuisine
6830	Les Hayons
6830	Poupehan
6833	Ucimont
6834	Bellevaux
6838	Corbion
6840	Hamipré
6850	Carlsbourg
6851	Nollevaux
6852	Maissin
6853	Framont
6860	Mellier
6870	Arville
6870	Awenne
6870	Hatrival
6880	Jehonville
6887	Saint-Médard
6887	Straimont
6890	Libin
6890	Smuid
6900	Aye
6900	Humain
6921	Chanly
6922	Halma
6927	Tellin
6941	Heyd
6950	Nassogne
6952	Grune
6953	Masbourg
6960	Vaux-Chavanne
6971	Champlon
6980	Beausaint
6982	Samrée
6997	Mormont
7012	Flénu
7022	Harveng
7022	Hyon
7040	Asquillies
7050	Erbaut
7050	Herchies
7061	Thieusies
7063	Chaussée-Notre-Dame-Louvignies
7070	Thieu
7080	Frameries
7090	Steenkerque
7120	Estinnes-Au-Mont
7130	Bray
7141	Mont-Sainte-Aldegonde
7170	La Hestre
7170	Manage
7300	Boussu
7321	Blaton
7322	Ville-Pommeroeul
7334	Villerot
7340	Wasmes
7370	Blaugies
7387	Angre
7387	Athis
7387	Onnezies
7390	Quaregnon
7500	Tournai
7503	Froyennes
7504	Froidmont
7522	Hertain
7542	Mont-Saint-Aubert
7604	Baugnies
7604	Braffe
7604	Callenelle
7611	La Glanerie
7620	Guignies
7641	Bruyelle
7643	Fontenoy
7700	Luingne
7730	Estaimbourg
7730	Saint-Léger
7760	Popuelles
7783	Bizet
7804	Ostiches
7804	Rebaix
7810	Maffle
7812	Villers-Saint-Amand
7861	Wannebecq
7866	Ollignies
7870	Lens
7903	Blicquy
7910	Cordes
7911	Oeudeghien
7942	Mévergnies-Lez-Lens
7971	Basècles
7971	Ramegnies
7971	Wadelincourt
7973	Grandglise
8020	Oostkamp
8200	Sint-Michiels
8300	Knokke-Heist
8340	Lapscheure
8340	Moerkerke
8377	Nieuwmunster
8400	Oostende
8400	Zandvoorde
8420	De Haan
8420	Wenduine
8432	Leffinge
8433	Schore
8434	Westende
8460	Oudenburg
8490	Varsenare
8510	Bellegem
8510	Kooigem
8510	Rollegem
8550	Zwevegem
8551	Heestert
8560	Moorsele
8570	Anzegem
8587	Espierres-Helchin
8600	Pervijze
8600	Stuivekenskerke
8610	Werken
8620	Ramskapelle
8620	Sint-Joris
8630	Booitshoeke
8630	De Moeren
8630	Wulveringem
8630	Zoutenaaie
8640	Woesten
8647	Lo-Reninge
8650	Houthulst
8650	Klerken
8670	Koksijde
8700	Aarsele
8720	Wakken
8740	Egem
8755	Ruiselede
8793	Sint-Eloois-Vijve
8870	Kachtem
8880	Rollegem-Kapelle
8880	Sint-Eloois-Winkel
8902	Voormezele
8930	Rekkem
8940	Geluwe
8951	Dranouter
8954	Westouter
8956	Kemmel
8957	Messines
8972	Roesbrugge-Haringe
8978	Watou
8980	Beselare
8980	Zonnebeke
9031	Drongen
9042	Desteldonk
9042	Sint-Kruis-Winkel
9070	Destelbergen
9080	Beervelde
9080	Zaffelare
9120	Melsele
9150	Kruibeke
9160	Daknam
9170	De Klinge
9170	Sint-Gillis-Waas
9190	Stekene
9200	Grembergen
9220	Hamme
9230	Westrem
9230	Wetteren
9270	Kalken
9300	Aalst
9320	Erembodegem
9400	Voorde
9402	Meerbeke
9404	Aspelare
9406	Outer
9420	Mere
9420	Ottergem
9500	Geraardsbergen
9506	Idegem
9550	Steenhuize-Wijnhuize
9550	Woubrechtegem
9570	Deftinge
9571	Hemelveerdegem
9620	Elene
9620	Sint-Maria-Oudenhove
9620	Zottegem
9630	Hundelgem
9630	Sint-Denijs-Boekel
9630	Zwalm
9660	Sint-Maria-Oudenhove
9680	Maarke-Kerkem
9700	Edelare
9700	Heurne
9700	Melden
9700	Welden
9750	Huise
9790	Moregem
9800	Meigem
9831	Deurle
9850	Merendree
9850	Poesele
9881	Bellem
9890	Dikkelvenne
9890	Vurste
9910	Ursel
9940	Ertvelde
9940	Evergem
9970	Kaprijke
9982	Sint-Jan-In-Eremo
1020	Laeken
1080	Molenbeek-Saint-Jean
1082	Berchem-Sainte-Agathe
1083	Ganshoren
1120	Neder-Over-Heembeek
1320	Beauvechain
1320	Hamme-Mille
1325	Longueville
1340	Ottignies
1350	Enines
1350	Jauche
1350	Orp-Le-Grand
1360	Malèves-Sainte-Marie-Wastines
1367	Ramillies
1370	Jodoigne-Souveraine
1370	Piétrain
1380	Lasne-Chapelle-Saint-Lambert
1380	Maransart
1380	Ohain
1390	Bossut-Gottechain
1410	Waterloo
1420	Braine-L'alleud
1430	Rebecq
1440	Braine-Le-Château
1450	Cortil-Noirmont
1450	Gentinnes
1457	Walhain
1480	Saintes
1495	Sart-Dames-Avelines
1570	Tollembeek
1653	Dworp
1654	Huizingen
1671	Elingen
1703	Schepdaal
1750	Sint-Martens-Lennik
1755	Oetingen
1785	Merchtem
1831	Diegem
1840	Londerzeel
1851	Humbeek
1852	Beigem
1880	Ramsdonk
1980	Zemst
1982	Weerde
2040	Antwerpen
2050	Antwerpen
2060	Antwerpen
2070	Burcht
2070	Zwijndrecht
2110	Wijnegem
2160	Wommelgem
2243	Pulle
2250	Olen
2275	Lille
2288	Bouwel
2320	Hoogstraten
2370	Arendonk
2470	Retie
2480	Dessel
2491	Olmen
2540	Hove
2547	Lint
2550	Waarloos
2560	Kessel
2560	Nijlen
2630	Aartselaar
2640	Mortsel
2830	Heindonk
2850	Boom
2870	Liezele
2880	Bornem
2880	Mariekerke
2890	Oppuurs
2910	Essen
2980	Zoersel
3001	Heverlee
3040	Sint-Agatha-Rode
3070	Kortenberg
3080	Duisburg
3090	Overijse
3128	Baal
3130	Betekom
3150	Wespelaar
3220	Holsbeek
3221	Nieuwrode
3270	Scherpenheuvel
3290	Deurne
3293	Kaggevinne
3300	Sint-Margriete-Houtem
3350	Neerhespen
3350	Neerlinter
3350	Orsmaal-Gussenhoven
3350	Wommersom
3370	Neervelp
3370	Willebringen
3390	Tielt
3400	Laar
3400	Landen
3440	Budingen
3510	Spalbeek
3512	Stevoort
3550	Zolder
3620	Gellik
3630	Vucht
3631	Boorsem
3650	Dilsen-Stokkem
3650	Elen
3650	Lanklaar
3660	Opglabbeek
3668	Niel-Bij-As
3680	Neeroeteren
3700	Kolmont
3721	Vliermaalroot
3722	Wintershoven
3732	Schalkhoven
3770	Genoelselderen
3770	Herderen
3770	Vlijtingen
3770	Vroenhoven
3770	Zichen-Zussen-Bolder
3792	Fouron-Saint-Pierre
3800	Aalst
3800	Ordingen
3800	Sint-Truiden
3840	Groot-Loon
3840	Hoepertingen
3850	Binderveld
3870	Bovelingen
3870	Heks
3890	Boekhout
3890	Gingelom
3890	Montenaken
3890	Niel-Bij-Sint-Truiden
3891	Muizen
3920	Lommel
3930	Hamont-Achel
3950	Reppel
3960	Gerdingen
3960	Opitter
3960	Tongerlo
3971	Heppen
3990	Kleine-Brogel
4000	Rocourt
4020	Liège
4041	Milmort
4130	Esneux
4140	Sprimont
4160	Anthisnes
4163	Tavier
4180	Comblain-La-Tour
4180	Hamoir
4181	Filot
4190	Ferrières
4190	Werbomont
4210	Burdinne
4210	Lamontzée
4210	Oteppe
4263	Tourinne
4280	Bertrée
4280	Grand-Hallet
4280	Hannut
4300	Bovenistier
4300	Grand-Axhe
4300	Oleye
4357	Donceel
4360	Bergilers
4360	Grandville
4367	Odeur
4400	Awirs
4400	Chokier
4400	Flémalle
4400	Ivoz-Ramet
4420	Tilleur
4458	Fexhe-Slins
4520	Huccorgne
4530	Fize-Fontaine
4530	Vieux-Waleffe
4550	Nandrin
4557	Fraiture
4560	Clavier
4600	Lanaye
4601	Argenteau
4606	Saint-André
4608	Neufchâteau
4623	Magnée
4624	Romsée
4630	Micheroux
4650	Chaineux
4650	Julémont
4652	Xhendelesse
4653	Bolland
4671	Barchon
4681	Hermalle-Sous-Argenteau
4682	Houtain-Saint-Siméon
4683	Vivegnis
4690	Bassenge
4721	Neu-Moresnet
4760	Bullange
4770	Amblève
4780	Saint-Vith
4783	Lommersweiler
4800	Ensival
4800	Polleur
4800	Verviers
4860	Pepinster
4877	Olne
4890	Clermont
4920	Harzé
4920	Louveigné
4950	Sourbrodt
4970	Francorchamps
4987	La Gleize
4987	Rahier
5000	Namur
5004	Bouge
5030	Gembloux
5032	Bothey
5032	Corroy-Le-Château
5032	Isnes
5060	Moignelée
5070	Vitrival
5080	La Bruyère
5100	Naninne
5100	Wierde
5150	Floreffe
5150	Franière
5170	Lesve
5190	Ham-Sur-Sambre
5190	Spy
5300	Thon
5310	Boneffe
5310	Saint-Germain
5310	Waret-La-Chaussée
5353	Goesnes
5364	Schaltin
5370	Verlée
5380	Hingeon
5380	Noville-Les-Bois
5500	Bouvignes-Sur-Meuse
5500	Dinant
5500	Falmignoul
5500	Furfooz
5530	Mont
5540	Hastière
5542	Blaimont
5543	Heer
5544	Agimont
5550	Nafraiture
5555	Bellefontaine
5555	Graide
5560	Houyet
5562	Custinne
5563	Hour
5570	Dion
5570	Wancennes
5575	Louette-Saint-Pierre
5575	Malvoisin
5575	Patignies
5580	Buissonville
5590	Haversin
5590	Serinchamps
5600	Sart-En-Fagne
5600	Villers-Le-Gambon
5620	Flavion
5620	Morville
5621	Hanzinne
5621	Morialmé
5630	Silenrieux
5630	Villers-Deux-Eglises
5641	Furnaux
5650	Castillon
5650	Fraire
5650	Walcourt
5651	Berzée
5651	Rognée
5651	Somzée
5651	Thy-Le-Château
5660	Brûly
5660	Couvin
5660	Cul-Des-Sarts
5660	Frasnes
5660	Gonrieux
5660	Petigny
5670	Nismes
5680	Gimnée
5680	Niverlée
6000	Charleroi
6032	Mont-Sur-Marchienne
6043	Ransart
6120	Cour-Sur-Heure
6140	Fontaine-L'evêque
6181	Gouy-Lez-Piéton
6182	Souvret
6210	Rèves
6220	Fleurus
6222	Brye
6230	Obaix
6280	Acoz
6280	Loverval
6460	Robechies
6461	Virelles
6470	Grandrieu
6470	Sivry
6500	Barbençon
6500	Thirimont
6540	Lobbes
6567	Merbes-Sainte-Marie
6590	Momignies
6600	Wardin
6640	Hompré
6660	Houffalize
6672	Beho
6673	Cherain
6674	Montleban
6721	Anlier
6750	Signeulx
6760	Bleid
6760	Ethe
6767	Harnoncourt
6767	Lamorteau
6769	Robelmont
6792	Halanzy
6800	Remagne
6820	Florenville
6820	Fontenoille
6820	Muno
6830	Bouillon
6830	Rochehaut
6833	Vivy
6850	Paliseul
6860	Assenois
6860	Ebly
6870	Mirwart
6870	Vesqueville
6890	Anloy
6890	Transinne
6940	Durbuy
6940	Wéris
6941	Bomal-Sur-Ourthe
6941	Izier
6953	Ambly
6983	Ortho
6990	Hampteau
6990	Hotton
6997	Erezée
7021	Havre
7022	Nouvelles
7024	Ciply
7034	Obourg
7040	Blaregnies
7040	Bougnies
7040	Genly
7040	Quévy
7050	Masnuy-Saint-Jean
7061	Casteau
7063	Neufvilles
7070	Gottignies
7070	Ville-Sur-Haine
7090	Braine-Le-Comte
7090	Henripont
7110	Houdeng-Goegnies
7120	Estinnes-Au-Val
7120	Haulchin
7180	Seneffe
7181	Arquennes
7181	Familleureux
7301	Hornu
7330	Saint-Ghislain
7340	Warquignies
7350	Montroeul-Sur-Haine
7350	Thulin
7370	Wihéries
7380	Quiévrain
7382	Audregnies
7387	Erquennes
7387	Honnelles
7501	Orcq
7522	Marquain
7530	Gaurain-Ramecroix
7536	Vaulx
7540	Kain
7600	Péruwelz
7601	Roucourt
7602	Bury
7620	Brunehaut
7640	Maubray
7711	Dottignies
